"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 08월 09일","2,918.65","2,930.51","2,935.75","2,900.15","-","-0.66%"
"2019년 08월 08일","2,938.09","2,896.21","2,938.72","2,894.47","-","1.88%"
"2019년 08월 07일","2,883.98","2,858.65","2,892.17","2,825.71","-","0.08%"
"2019년 08월 06일","2,881.77","2,861.18","2,884.40","2,847.42","-","1.30%"
"2019년 08월 05일","2,844.74","2,898.07","2,898.07","2,822.12","-","-2.98%"
"2019년 08월 02일","2,932.05","2,943.90","2,945.50","2,914.11","-","-0.73%"
"2019년 08월 01일","2,953.56","2,980.32","3,013.59","2,945.23","-","-0.90%"
"2019년 07월 31일","2,980.38","3,016.22","3,017.40","2,958.08","-","-1.09%"
"2019년 07월 30일","3,013.18","3,007.66","3,017.19","3,000.94","-","-0.26%"
"2019년 07월 29일","3,020.97","3,024.47","3,025.61","3,014.30","-","-0.16%"
"2019년 07월 26일","3,025.86","3,013.25","3,027.98","3,012.59","-","0.74%"
"2019년 07월 25일","3,003.67","3,016.26","3,016.31","2,997.24","-","-0.53%"
"2019년 07월 24일","3,019.56","2,998.77","3,019.59","2,996.82","-","0.47%"
"2019년 07월 23일","3,005.47","2,994.74","3,005.90","2,988.56","-","0.68%"
"2019년 07월 22일","2,985.03","2,981.93","2,990.71","2,976.65","-","0.28%"
"2019년 07월 19일","2,976.61","3,004.26","3,006.02","2,975.86","-","-0.62%"
"2019년 07월 18일","2,995.11","2,978.87","2,998.28","2,973.09","-","0.36%"
"2019년 07월 17일","2,984.42","3,005.10","3,005.26","2,984.25","-","-0.65%"
"2019년 07월 16일","3,004.04","3,012.13","3,015.02","3,001.15","-","-0.34%"
"2019년 07월 15일","3,014.30","3,017.80","3,017.80","3,008.77","-","0.02%"
"2019년 07월 12일","3,013.77","3,003.36","3,013.92","3,001.87","-","0.46%"
"2019년 07월 11일","2,999.91","2,999.62","3,002.33","2,988.80","-","0.23%"
"2019년 07월 10일","2,993.07","2,989.30","3,002.98","2,984.62","-","0.45%"
"2019년 07월 09일","2,979.63","2,965.52","2,981.90","2,963.44","-","0.12%"
"2019년 07월 08일","2,975.95","2,979.77","2,980.76","2,970.09","-","-0.48%"
"2019년 07월 05일","2,990.41","2,984.25","2,994.03","2,967.97","-","-0.18%"
"2019년 07월 03일","2,995.82","2,978.08","2,995.84","2,977.96","-","0.77%"
"2019년 07월 02일","2,973.01","2,964.66","2,973.21","2,955.92","-","0.29%"
"2019년 07월 01일","2,964.33","2,971.41","2,977.93","2,952.22","-","0.77%"
"2019년 06월 28일","2,941.76","2,932.94","2,943.98","2,929.05","-","0.58%"
"2019년 06월 27일","2,924.92","2,919.66","2,929.30","2,918.57","-","0.38%"
"2019년 06월 26일","2,913.78","2,926.07","2,932.59","2,912.99","-","-0.12%"
"2019년 06월 25일","2,917.38","2,945.78","2,946.52","2,916.01","-","-0.95%"
"2019년 06월 24일","2,945.35","2,951.42","2,954.92","2,944.05","-","-0.17%"
"2019년 06월 21일","2,950.46","2,952.71","2,964.15","2,946.87","-","-0.13%"
"2019년 06월 20일","2,954.18","2,949.60","2,958.06","2,931.50","-","0.95%"
"2019년 06월 19일","2,926.46","2,920.55","2,931.74","2,911.43","-","0.30%"
"2019년 06월 18일","2,917.75","2,906.71","2,930.79","2,905.44","-","0.97%"
"2019년 06월 17일","2,889.67","2,889.75","2,897.27","2,887.30","-","0.09%"
"2019년 06월 14일","2,886.98","2,886.82","2,894.45","2,879.62","-","-0.16%"
"2019년 06월 13일","2,891.64","2,886.24","2,895.24","2,881.99","-","0.41%"
"2019년 06월 12일","2,879.84","2,882.73","2,888.57","2,874.68","-","-0.20%"
"2019년 06월 11일","2,885.72","2,903.27","2,910.61","2,878.53","-","-0.03%"
"2019년 06월 10일","2,886.73","2,885.83","2,904.77","2,885.51","-","0.47%"
"2019년 06월 07일","2,873.34","2,852.87","2,884.97","2,852.87","-","1.05%"
"2019년 06월 06일","2,843.49","2,828.51","2,852.10","2,822.45","-","0.61%"
"2019년 06월 05일","2,826.15","2,818.09","2,827.28","2,800.92","-","0.82%"
"2019년 06월 04일","2,803.27","2,762.64","2,804.49","2,762.64","-","2.14%"
"2019년 06월 03일","2,744.45","2,751.53","2,763.07","2,728.81","-","-0.28%"
"2019년 05월 31일","2,752.06","2,766.15","2,768.98","2,750.52","-","-1.32%"
"2019년 05월 30일","2,788.86","2,786.94","2,799.00","2,776.74","-","0.21%"
"2019년 05월 29일","2,783.02","2,790.25","2,792.03","2,766.06","-","-0.69%"
"2019년 05월 28일","2,802.39","2,830.03","2,840.51","2,801.58","-","-0.84%"
"2019년 05월 24일","2,826.06","2,832.41","2,841.36","2,820.19","-","0.14%"
"2019년 05월 23일","2,822.24","2,836.70","2,836.70","2,805.49","-","-1.19%"
"2019년 05월 22일","2,856.27","2,856.06","2,865.47","2,851.11","-","-0.28%"
"2019년 05월 21일","2,864.36","2,854.02","2,868.88","2,854.02","-","0.85%"
"2019년 05월 20일","2,840.23","2,841.94","2,853.86","2,831.29","-","-0.67%"
"2019년 05월 17일","2,859.53","2,858.60","2,885.48","2,854.23","-","-0.58%"
"2019년 05월 16일","2,876.32","2,855.80","2,892.15","2,855.80","-","0.89%"
"2019년 05월 15일","2,850.96","2,820.38","2,858.68","2,815.08","-","0.58%"
"2019년 05월 14일","2,834.41","2,820.12","2,852.54","2,820.12","-","0.80%"
"2019년 05월 13일","2,811.87","2,840.19","2,840.19","2,801.43","-","-2.41%"
"2019년 05월 10일","2,881.40","2,863.10","2,891.31","2,825.39","-","0.37%"
"2019년 05월 09일","2,870.72","2,859.84","2,875.97","2,836.40","-","-0.30%"
"2019년 05월 08일","2,879.42","2,879.61","2,897.96","2,873.28","-","-0.16%"
"2019년 05월 07일","2,884.05","2,913.03","2,913.03","2,862.60","-","-1.65%"
"2019년 05월 06일","2,932.47","2,908.89","2,937.32","2,898.21","-","-0.45%"
"2019년 05월 03일","2,945.64","2,929.21","2,947.85","2,929.21","-","0.96%"
"2019년 05월 02일","2,917.52","2,922.16","2,931.68","2,900.50","-","-0.21%"
"2019년 05월 01일","2,923.73","2,952.33","2,954.13","2,923.36","-","-0.75%"
"2019년 04월 30일","2,945.83","2,937.14","2,948.22","2,924.11","-","0.10%"
"2019년 04월 29일","2,943.03","2,940.58","2,949.52","2,939.35","-","0.11%"
"2019년 04월 26일","2,939.88","2,925.81","2,939.88","2,917.56","-","0.47%"
"2019년 04월 25일","2,926.17","2,928.99","2,933.10","2,912.84","-","-0.04%"
"2019년 04월 24일","2,927.25","2,934.00","2,936.83","2,926.05","-","-0.22%"
"2019년 04월 23일","2,933.68","2,909.99","2,936.31","2,908.53","-","0.88%"
"2019년 04월 22일","2,907.97","2,898.78","2,909.51","2,896.35","-","0.10%"
"2019년 04월 18일","2,905.03","2,904.81","2,908.40","2,891.90","-","0.16%"
"2019년 04월 17일","2,900.45","2,916.04","2,918.00","2,895.45","-","-0.23%"
"2019년 04월 16일","2,907.06","2,912.26","2,916.06","2,900.71","-","0.05%"
"2019년 04월 15일","2,905.58","2,908.32","2,909.60","2,896.48","-","-0.06%"
"2019년 04월 12일","2,907.41","2,900.86","2,910.54","2,898.37","-","0.66%"
"2019년 04월 11일","2,888.32","2,891.92","2,893.42","2,881.99","-","0.00%"
"2019년 04월 10일","2,888.21","2,881.37","2,889.71","2,879.13","-","0.35%"
"2019년 04월 09일","2,878.20","2,886.58","2,886.88","2,873.33","-","-0.61%"
"2019년 04월 08일","2,895.77","2,888.46","2,895.95","2,880.78","-","0.10%"
"2019년 04월 05일","2,892.74","2,884.16","2,893.24","2,882.99","-","0.46%"
"2019년 04월 04일","2,879.39","2,873.99","2,881.28","2,867.14","-","0.21%"
"2019년 04월 03일","2,873.40","2,876.09","2,885.25","2,865.17","-","0.21%"
"2019년 04월 02일","2,867.24","2,868.24","2,872.90","2,858.75","-","0.00%"
"2019년 04월 01일","2,867.19","2,848.63","2,869.40","2,848.63","-","1.16%"
"2019년 03월 29일","2,834.40","2,828.27","2,836.03","2,819.23","-","0.67%"
"2019년 03월 28일","2,815.44","2,809.40","2,819.71","2,798.77","-","0.36%"
"2019년 03월 27일","2,805.37","2,819.72","2,825.56","2,787.72","-","-0.46%"
"2019년 03월 26일","2,818.46","2,812.66","2,829.87","2,803.99","-","0.72%"
"2019년 03월 25일","2,798.36","2,796.01","2,809.79","2,785.02","-","-0.08%"
"2019년 03월 22일","2,800.71","2,844.52","2,846.16","2,800.47","-","-1.90%"
"2019년 03월 21일","2,854.88","2,819.72","2,860.31","2,817.38","-","1.09%"
"2019년 03월 20일","2,824.23","2,831.34","2,843.54","2,812.43","-","-0.29%"
"2019년 03월 19일","2,832.57","2,840.76","2,852.42","2,823.27","-","-0.01%"
"2019년 03월 18일","2,832.94","2,822.61","2,835.41","2,821.99","-","0.37%"
"2019년 03월 15일","2,822.48","2,810.79","2,830.73","2,810.79","-","0.50%"
"2019년 03월 14일","2,808.48","2,810.38","2,815.00","2,803.46","-","-0.09%"
"2019년 03월 13일","2,810.92","2,799.78","2,821.24","2,799.78","-","0.69%"
"2019년 03월 12일","2,791.52","2,787.34","2,798.32","2,786.73","-","0.30%"
"2019년 03월 11일","2,783.30","2,747.61","2,784.00","2,747.61","-","1.47%"
"2019년 03월 08일","2,743.07","2,730.79","2,744.13","2,722.27","-","-0.21%"
"2019년 03월 07일","2,748.93","2,766.53","2,767.25","2,739.09","-","-0.81%"
"2019년 03월 06일","2,771.45","2,790.27","2,790.27","2,768.69","-","-0.65%"
"2019년 03월 05일","2,789.65","2,794.41","2,796.44","2,782.97","-","-0.11%"
"2019년 03월 04일","2,792.81","2,814.37","2,816.88","2,767.66","-","-0.39%"
"2019년 03월 01일","2,803.69","2,798.22","2,808.02","2,787.38","-","0.69%"
"2019년 02월 28일","2,784.49","2,788.11","2,793.73","2,782.51","-","-0.28%"
"2019년 02월 27일","2,792.38","2,787.50","2,795.76","2,775.13","-","-0.05%"
"2019년 02월 26일","2,793.90","2,792.36","2,803.12","2,789.47","-","-0.08%"
"2019년 02월 25일","2,796.11","2,804.35","2,813.49","2,794.99","-","0.12%"
"2019년 02월 22일","2,792.67","2,780.67","2,794.20","2,779.11","-","0.64%"
"2019년 02월 21일","2,774.88","2,780.24","2,781.58","2,764.55","-","-0.35%"
"2019년 02월 20일","2,784.70","2,779.05","2,789.88","2,774.06","-","0.18%"
"2019년 02월 19일","2,779.76","2,769.28","2,787.33","2,767.29","-","0.15%"
"2019년 02월 15일","2,775.60","2,760.24","2,775.66","2,760.24","-","1.09%"
"2019년 02월 14일","2,745.73","2,743.50","2,757.90","2,731.23","-","-0.27%"
"2019년 02월 13일","2,753.03","2,750.30","2,761.85","2,748.63","-","0.30%"
"2019년 02월 12일","2,744.73","2,722.61","2,748.19","2,722.61","-","1.29%"
"2019년 02월 11일","2,709.80","2,712.40","2,718.05","2,703.79","-","0.07%"
"2019년 02월 08일","2,707.88","2,692.36","2,708.07","2,681.83","-","0.07%"
"2019년 02월 07일","2,706.05","2,717.53","2,719.32","2,687.26","-","-0.94%"
"2019년 02월 06일","2,731.61","2,735.05","2,738.08","2,724.15","-","-0.22%"
"2019년 02월 05일","2,737.70","2,728.34","2,738.98","2,724.03","-","0.47%"
"2019년 02월 04일","2,724.87","2,706.49","2,724.99","2,698.75","-","0.68%"
"2019년 02월 01일","2,706.53","2,702.32","2,716.66","2,696.88","-","0.09%"
"2019년 01월 31일","2,704.10","2,685.49","2,708.95","2,678.65","-","0.86%"
"2019년 01월 30일","2,681.05","2,653.62","2,690.44","2,648.34","-","1.55%"
"2019년 01월 29일","2,640.00","2,644.89","2,650.93","2,631.05","-","-0.15%"
"2019년 01월 28일","2,643.85","2,644.97","2,644.97","2,624.06","-","-0.78%"
"2019년 01월 25일","2,664.76","2,657.44","2,672.38","2,657.33","-","0.85%"
"2019년 01월 24일","2,642.33","2,638.84","2,647.20","2,627.01","-","0.14%"
"2019년 01월 23일","2,638.70","2,643.48","2,653.19","2,612.86","-","0.22%"
"2019년 01월 22일","2,632.90","2,657.88","2,657.88","2,617.27","-","-1.42%"
"2019년 01월 18일","2,670.71","2,651.27","2,675.47","2,647.58","-","1.32%"
"2019년 01월 17일","2,635.96","2,609.28","2,645.06","2,606.36","-","0.76%"
"2019년 01월 16일","2,616.10","2,614.75","2,625.76","2,612.68","-","0.22%"
"2019년 01월 15일","2,610.30","2,585.10","2,613.08","2,585.10","-","1.07%"
"2019년 01월 14일","2,582.61","2,580.31","2,589.32","2,570.41","-","-0.53%"
"2019년 01월 11일","2,596.26","2,588.11","2,596.27","2,577.40","-","-0.01%"
"2019년 01월 10일","2,596.64","2,573.51","2,597.82","2,562.02","-","0.45%"
"2019년 01월 09일","2,584.96","2,580.00","2,595.32","2,568.89","-","0.41%"
"2019년 01월 08일","2,574.41","2,568.11","2,579.82","2,547.56","-","0.97%"
"2019년 01월 07일","2,549.69","2,535.61","2,566.16","2,524.56","-","0.70%"
"2019년 01월 04일","2,531.94","2,474.33","2,538.07","2,474.33","-","3.43%"
"2019년 01월 03일","2,447.89","2,491.92","2,493.14","2,443.96","-","-2.48%"
"2019년 01월 02일","2,510.03","2,476.96","2,519.49","2,467.47","-","0.13%"
"2018년 12월 31일","2,506.85","2,498.94","2,509.24","2,482.82","-","0.85%"
"2018년 12월 28일","2,485.74","2,498.77","2,520.27","2,472.89","-","-0.12%"
"2018년 12월 27일","2,488.83","2,442.50","2,489.10","2,397.94","-","0.86%"
"2018년 12월 26일","2,467.70","2,363.12","2,467.76","2,346.58","-","4.96%"
"2018년 12월 24일","2,351.10","2,400.56","2,410.34","2,351.10","-","-2.71%"
"2018년 12월 21일","2,416.62","2,465.38","2,504.41","2,408.55","-","-2.06%"
"2018년 12월 20일","2,467.42","2,496.77","2,509.63","2,441.18","-","-1.58%"
"2018년 12월 19일","2,506.96","2,547.05","2,585.29","2,488.96","-","-1.54%"
"2018년 12월 18일","2,546.16","2,559.90","2,573.99","2,528.71","-","0.01%"
"2018년 12월 17일","2,545.94","2,590.75","2,601.13","2,530.54","-","-2.08%"
"2018년 12월 14일","2,599.95","2,629.68","2,635.07","2,593.84","-","-1.91%"
"2018년 12월 13일","2,650.54","2,658.70","2,670.19","2,637.27","-","-0.02%"
"2018년 12월 12일","2,651.07","2,658.23","2,685.44","2,650.26","-","0.54%"
"2018년 12월 11일","2,636.78","2,664.44","2,674.35","2,621.30","-","-0.04%"
"2018년 12월 10일","2,637.72","2,630.86","2,647.51","2,583.23","-","0.18%"
"2018년 12월 07일","2,633.08","2,691.26","2,708.54","2,623.14","-","-2.33%"
"2018년 12월 06일","2,695.95","2,663.51","2,696.15","2,621.53","-","-0.15%"
"2018년 12월 04일","2,700.06","2,782.43","2,785.93","2,697.18","-","-3.24%"
"2018년 12월 03일","2,790.37","2,790.50","2,800.18","2,773.38","-","1.09%"
"2018년 11월 30일","2,760.17","2,737.76","2,760.88","2,732.76","-","0.82%"
"2018년 11월 29일","2,737.76","2,736.97","2,753.75","2,722.94","-","-0.22%"
"2018년 11월 28일","2,743.79","2,691.45","2,744.00","2,684.38","-","2.30%"
"2018년 11월 27일","2,682.17","2,663.75","2,682.53","2,655.89","-","0.33%"
"2018년 11월 26일","2,673.45","2,649.97","2,674.35","2,649.97","-","1.55%"
"2018년 11월 23일","2,632.56","2,633.36","2,647.55","2,631.09","-","-0.66%"
"2018년 11월 21일","2,649.93","2,657.74","2,670.73","2,649.82","-","0.30%"
"2018년 11월 20일","2,641.89","2,654.60","2,669.44","2,631.52","-","-1.82%"
"2018년 11월 19일","2,690.73","2,730.74","2,733.16","2,681.09","-","-1.66%"
"2018년 11월 16일","2,736.27","2,718.54","2,746.75","2,712.16","-","0.22%"
"2018년 11월 15일","2,730.20","2,693.52","2,735.38","2,670.75","-","1.06%"
"2018년 11월 14일","2,701.58","2,737.90","2,746.80","2,685.75","-","-0.76%"
"2018년 11월 13일","2,722.18","2,730.05","2,754.60","2,714.98","-","-0.15%"
"2018년 11월 12일","2,726.22","2,773.93","2,775.99","2,722.00","-","-1.97%"
"2018년 11월 09일","2,781.01","2,794.10","2,794.10","2,764.24","-","-0.92%"
"2018년 11월 08일","2,806.83","2,806.38","2,814.75","2,794.99","-","-0.25%"
"2018년 11월 07일","2,813.89","2,774.13","2,815.15","2,774.13","-","2.12%"
"2018년 11월 06일","2,755.45","2,738.40","2,756.82","2,737.08","-","0.63%"
"2018년 11월 05일","2,738.31","2,726.37","2,744.27","2,717.94","-","0.56%"
"2018년 11월 02일","2,723.06","2,745.45","2,756.55","2,700.44","-","-0.63%"
"2018년 11월 01일","2,740.37","2,717.58","2,741.67","2,708.85","-","1.06%"
"2018년 10월 31일","2,711.74","2,705.60","2,736.69","2,705.60","-","1.09%"
"2018년 10월 30일","2,682.63","2,640.68","2,685.43","2,635.34","-","1.57%"
"2018년 10월 29일","2,641.25","2,682.65","2,706.85","2,603.54","-","-0.66%"
"2018년 10월 26일","2,658.69","2,667.86","2,692.38","2,628.16","-","-1.73%"
"2018년 10월 25일","2,705.57","2,674.88","2,722.70","2,667.84","-","1.86%"
"2018년 10월 24일","2,656.10","2,737.87","2,742.59","2,651.89","-","-3.09%"
"2018년 10월 23일","2,740.69","2,721.03","2,753.59","2,691.43","-","-0.55%"
"2018년 10월 22일","2,755.88","2,773.94","2,778.94","2,749.22","-","-0.43%"
"2018년 10월 19일","2,767.78","2,775.66","2,797.77","2,760.27","-","-0.04%"
"2018년 10월 18일","2,768.78","2,802.00","2,806.04","2,755.18","-","-1.44%"
"2018년 10월 17일","2,809.21","2,811.67","2,816.94","2,781.81","-","-0.03%"
