"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 07월 03일","293.35","294.89","295.06","290.89","88.70M","0.14%"
"2018년 07월 02일","292.93","299.12","300.04","292.93","93.23M","-2.25%"
"2018년 06월 29일","299.66","299.37","300.28","295.97","91.79M","0.47%"
"2018년 06월 28일","298.26","299.91","300.83","297.72","88.46M","-1.32%"
"2018년 06월 27일","302.25","302.73","304.29","301.92","100.17M","-0.17%"
"2018년 06월 26일","302.76","300.30","303.83","299.50","95.03M","-0.20%"
"2018년 06월 25일","303.37","302.77","303.99","300.69","83.14M","-0.11%"
"2018년 06월 22일","303.69","298.81","303.72","298.71","92.74M","0.89%"
"2018년 06월 21일","301.02","304.06","305.04","301.02","101.20M","-0.99%"
"2018년 06월 20일","304.02","302.95","305.69","301.83","104.27M","0.89%"
"2018년 06월 19일","301.35","304.92","305.79","300.74","117.68M","-1.31%"
"2018년 06월 18일","305.35","308.73","308.95","303.77","121.13M","-1.09%"
"2018년 06월 15일","308.73","312.43","312.55","308.71","127.40M","-0.79%"
"2018년 06월 14일","311.20","314.60","314.82","311.03","147.74M","-1.78%"
"2018년 06월 12일","316.84","317.81","318.30","316.21","122.23M","-0.12%"
"2018년 06월 11일","317.22","315.24","317.35","314.24","103.06M","0.71%"
"2018년 06월 08일","314.97","316.94","317.25","314.53","103.10M","-0.85%"
"2018년 06월 07일","317.67","317.94","319.19","317.03","108.02M","0.60%"
"2018년 06월 05일","315.76","315.12","316.07","312.83","105.96M","0.29%"
"2018년 06월 04일","314.84","313.70","315.46","313.26","104.43M","0.52%"
"2018년 06월 01일","313.22","310.13","314.14","309.87","120.95M","0.74%"
"2018년 05월 31일","310.92","312.01","312.26","309.84","228.47M","0.54%"
"2018년 05월 30일","309.26","314.64","315.20","308.07","135.72M","-2.19%"
"2018년 05월 29일","316.20","318.70","319.40","316.18","117.36M","-0.87%"
"2018년 05월 28일","318.99","318.37","319.99","318.04","147.74M","0.30%"
"2018년 05월 25일","318.05","315.92","318.88","315.43","130.29M","0.18%"
"2018년 05월 24일","317.48","318.93","319.46","316.55","83.14M","-0.26%"
"2018년 05월 23일","318.31","316.45","319.04","316.01","122.35M","0.65%"
"2018년 05월 21일","316.25","315.74","317.19","313.45","96.77M","0.28%"
"2018년 05월 18일","315.37","315.50","315.80","314.46","83.89M","0.34%"
"2018년 05월 17일","314.29","317.33","317.77","314.29","107.63M","-0.53%"
"2018년 05월 16일","315.97","313.81","316.62","313.78","129.02M","0.33%"
"2018년 05월 15일","314.94","317.73","318.35","314.57","128.39M","-0.87%"
"2018년 05월 14일","317.72","318.93","319.50","317.09","141.54M","-0.25%"
"2018년 05월 11일","318.51","318.03","319.70","317.86","112.40M","0.38%"
"2018년 05월 10일","317.31","316.51","317.34","315.11","120.90M","0.92%"
"2018년 05월 09일","314.42","315.93","316.08","312.60","123.61M","-0.46%"
"2018년 05월 08일","315.87","317.79","319.53","314.95","141.25M","-0.28%"
"2018년 05월 04일","316.75","320.56","321.00","316.75","173.91M","-1.19%"
"2018년 05월 03일","320.55","322.83","322.95","320.55","117.28M","-0.61%"
"2018년 05월 02일","322.53","323.56","323.97","321.99","158.30M","-0.32%"
"2018년 04월 30일","323.56","321.93","323.58","321.66","139.57M","0.86%"
"2018년 04월 27일","320.80","321.39","322.93","319.43","92.19M","0.86%"
"2018년 04월 26일","318.08","315.55","319.06","314.95","91.04M","1.30%"
"2018년 04월 25일","313.99","313.09","314.43","312.10","82.18M","-0.59%"
"2018년 04월 24일","315.86","318.24","318.30","314.43","94.69M","-0.64%"
"2018년 04월 23일","317.89","317.32","318.28","316.50","108.89M","0.00%"
"2018년 04월 20일","317.89","318.60","319.39","317.29","104.39M","-0.70%"
"2018년 04월 19일","320.12","319.26","320.68","318.47","116.87M","0.46%"
"2018년 04월 18일","318.64","316.58","319.28","316.55","93.16M","1.27%"
"2018년 04월 17일","314.64","315.44","316.48","313.95","73.08M","-0.17%"
"2018년 04월 16일","315.17","316.45","316.53","314.14","69.23M","0.10%"
"2018년 04월 13일","314.86","314.42","315.71","313.77","92.86M","0.52%"
"2018년 04월 12일","313.22","313.92","314.69","312.99","95.16M","0.09%"
"2018년 04월 11일","312.94","314.83","315.45","312.44","108.37M","-0.32%"
"2018년 04월 10일","313.94","312.53","314.77","309.58","91.83M","0.16%"
"2018년 04월 09일","313.45","310.88","313.88","310.86","101.64M","0.59%"
"2018년 04월 06일","311.61","310.39","312.32","309.73","107.25M","-0.46%"
"2018년 04월 05일","313.04","311.12","314.53","310.30","103.60M","1.46%"
"2018년 04월 04일","308.54","314.21","314.21","308.33","139.80M","-1.54%"
"2018년 04월 03일","313.38","311.03","313.38","309.91","132.27M","-0.20%"
"2018년 04월 02일","314.00","315.56","317.07","313.62","85.96M","-0.19%"
"2018년 03월 30일","314.61","316.19","316.92","314.59","111.26M","0.25%"
"2018년 03월 29일","313.82","312.03","314.45","310.80","85.49M","0.64%"
"2018년 03월 28일","311.81","312.54","313.06","310.35","95.21M","-1.43%"
"2018년 03월 27일","316.34","317.22","317.39","315.24","86.17M","0.46%"
"2018년 03월 26일","314.89","311.93","314.89","309.85","82.45M","0.79%"
"2018년 03월 23일","312.42","316.60","317.13","311.78","102.46M","-3.37%"
"2018년 03월 22일","323.32","322.97","324.72","321.80","91.62M","0.53%"
