"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 06월 24일","275.58","275.91","276.73","275.13","55.54M","0.04%"
"2019년 06월 21일","275.48","276.17","276.26","274.60","77.28M","-0.19%"
"2019년 06월 20일","276.01","274.63","276.09","274.43","55.34M","0.25%"
"2019년 06월 19일","275.31","274.40","275.60","274.08","69.73M","1.46%"
"2019년 06월 18일","271.36","269.77","271.87","269.77","65.72M","0.47%"
"2019년 06월 17일","270.09","269.83","271.59","269.14","57.06M","-0.14%"
"2019년 06월 14일","270.48","270.19","271.55","268.96","66.71M","-0.24%"
"2019년 06월 13일","271.13","271.96","272.46","268.38","95.80M","-0.59%"
"2019년 06월 12일","272.74","273.14","274.32","272.00","66.92M","-0.17%"
"2019년 06월 11일","273.21","271.48","273.69","271.24","61.24M","0.41%"
"2019년 06월 10일","272.10","270.32","272.20","268.68","60.89M","1.43%"
"2019년 06월 07일","268.27","267.97","269.63","266.27","67.97M","0.10%"
"2019년 06월 05일","267.99","270.10","270.46","267.46","67.51M","0.12%"
"2019년 06월 04일","267.66","267.84","268.47","266.72","70.29M","-0.19%"
"2019년 06월 03일","268.16","262.68","268.55","262.33","83.61M","1.62%"
"2019년 05월 31일","263.89","262.48","265.21","261.53","77.79M","-0.02%"
"2019년 05월 30일","263.93","261.58","264.23","261.58","70.34M","0.98%"
"2019년 05월 29일","261.37","264.10","264.10","260.22","82.79M","-1.26%"
"2019년 05월 28일","264.70","264.38","266.16","263.27","147.26M","0.11%"
"2019년 05월 27일","264.40","264.18","265.85","263.17","53.14M","-0.01%"
"2019년 05월 24일","264.42","264.70","266.11","263.10","67.23M","-0.74%"
"2019년 05월 23일","266.38","266.40","267.12","264.50","71.66M","-0.10%"
"2019년 05월 22일","266.65","267.01","267.60","263.95","61.66M","0.20%"
"2019년 05월 21일","266.12","265.25","268.55","264.79","81.02M","0.44%"
"2019년 05월 20일","264.96","265.90","267.65","264.33","64.23M","0.23%"
"2019년 05월 17일","264.35","267.85","268.06","263.94","75.10M","-0.62%"
"2019년 05월 16일","265.99","269.83","269.96","265.24","75.96M","-1.35%"
"2019년 05월 15일","269.64","268.42","271.00","267.62","77.02M","0.40%"
"2019년 05월 14일","268.57","266.03","270.42","265.55","82.19M","-0.06%"
"2019년 05월 13일","268.72","269.80","271.54","268.55","66.87M","-1.23%"
"2019년 05월 10일","272.06","273.37","274.32","269.71","89.44M","0.39%"
"2019년 05월 09일","271.00","278.83","279.63","271.00","124.01M","-3.27%"
"2019년 05월 08일","280.15","277.85","281.84","277.84","75.00M","-0.41%"
"2019년 05월 07일","281.31","280.89","281.66","278.95","97.72M","-0.83%"
"2019년 05월 03일","283.67","285.64","285.95","283.14","67.79M","-0.86%"
"2019년 05월 02일","286.12","283.37","286.87","283.14","84.18M","0.42%"
"2019년 04월 30일","284.92","286.25","286.59","282.61","77.99M","-0.65%"
"2019년 04월 29일","286.79","282.00","286.79","281.81","66.98M","1.94%"
"2019년 04월 26일","281.34","280.86","282.47","279.70","76.72M","-0.53%"
"2019년 04월 25일","282.83","282.80","284.22","281.90","74.58M","-0.31%"
"2019년 04월 24일","283.70","287.82","287.82","281.96","88.61M","-0.97%"
"2019년 04월 23일","286.47","285.85","286.83","285.42","67.38M","0.21%"
"2019년 04월 22일","285.87","286.06","287.59","284.52","55.19M","-0.01%"
"2019년 04월 19일","285.89","287.18","287.48","285.72","63.87M","0.02%"
"2019년 04월 18일","285.82","290.88","291.15","285.38","89.65M","-1.55%"
"2019년 04월 17일","290.33","290.68","291.21","289.84","72.67M","-0.10%"
"2019년 04월 16일","290.62","289.18","290.76","288.77","96.13M","0.43%"
"2019년 04월 15일","289.38","289.54","290.74","289.12","80.43M","0.35%"
"2019년 04월 12일","288.37","286.89","288.62","285.83","69.06M","0.33%"
"2019년 04월 11일","287.42","288.33","288.71","286.38","84.68M","-0.17%"
"2019년 04월 10일","287.92","285.44","288.01","285.10","75.08M","0.42%"
"2019년 04월 09일","286.71","286.51","288.02","285.38","66.23M","0.12%"
"2019년 04월 08일","286.38","287.78","287.83","285.09","64.57M","-0.10%"
"2019년 04월 05일","286.68","286.03","287.53","285.93","64.89M","0.19%"
"2019년 04월 04일","286.15","285.29","287.75","284.97","73.80M","0.18%"
"2019년 04월 03일","285.65","281.88","285.65","281.22","91.59M","1.39%"
"2019년 04월 02일","281.72","281.67","282.47","281.00","72.18M","0.50%"
"2019년 04월 01일","280.32","278.41","280.93","278.41","76.67M","1.39%"
"2019년 03월 29일","276.48","276.33","277.01","274.32","82.28M","0.51%"
"2019년 03월 28일","275.08","275.02","276.20","273.90","66.92M","-0.79%"
"2019년 03월 27일","277.28","277.01","278.16","274.87","67.77M","-0.12%"
"2019년 03월 26일","277.60","278.43","278.49","276.91","65.75M","0.05%"
"2019년 03월 25일","277.45","279.12","279.21","277.19","77.32M","-2.01%"
"2019년 03월 22일","283.13","283.92","284.55","282.09","117.73M","0.27%"
"2019년 03월 21일","282.38","281.14","284.39","280.63","97.09M","0.88%"
"2019년 03월 20일","279.92","278.84","280.07","276.34","61.17M","0.04%"
"2019년 03월 19일","279.82","280.30","280.40","278.63","55.39M","-0.04%"
"2019년 03월 18일","279.93","280.27","280.77","278.92","60.90M","0.02%"
"2019년 03월 15일","279.87","276.42","280.50","276.31","123.13M","1.17%"
"2019년 03월 14일","276.64","276.79","277.40","274.78","95.82M","0.23%"
"2019년 03월 13일","276.00","276.92","277.12","274.04","61.49M","-0.62%"
"2019년 03월 12일","277.73","277.41","278.48","276.94","63.96M","0.97%"
"2019년 03월 11일","275.06","275.50","276.28","273.88","64.83M","0.08%"
"2019년 03월 08일","274.84","277.18","278.00","274.84","71.64M","-1.45%"
"2019년 03월 07일","278.87","279.33","280.98","277.44","78.64M","-0.35%"
"2019년 03월 06일","279.85","280.09","280.26","278.72","75.23M","-0.21%"
"2019년 03월 05일","280.45","281.42","281.89","279.53","78.81M","-0.73%"
"2019년 03월 04일","282.51","286.12","286.68","282.16","107.55M","-0.45%"
"2019년 02월 28일","283.80","288.13","288.62","283.80","129.09M","-1.72%"
"2019년 02월 27일","288.76","288.90","289.41","288.09","72.74M","0.30%"
"2019년 02월 26일","287.89","288.52","289.20","287.06","81.33M","-0.38%"
"2019년 02월 25일","289.00","290.19","290.32","287.84","73.42M","0.09%"
"2019년 02월 22일","288.74","287.29","288.74","286.54","70.34M","0.11%"
"2019년 02월 21일","288.41","287.43","289.28","286.05","88.24M","0.00%"
"2019년 02월 20일","288.40","286.55","289.22","286.21","88.58M","1.22%"
"2019년 02월 19일","284.91","285.36","286.12","283.16","62.75M","-0.35%"
"2019년 02월 18일","285.90","285.60","287.02","284.64","73.48M","0.68%"
"2019년 02월 15일","283.98","286.42","286.42","282.81","77.19M","-1.63%"
"2019년 02월 14일","288.68","284.25","288.68","282.91","112.39M","1.30%"
"2019년 02월 13일","284.97","285.09","285.59","284.13","93.29M","0.45%"
"2019년 02월 12일","283.69","282.12","284.32","281.43","92.11M","0.56%"
"2019년 02월 11일","282.10","281.75","282.19","280.02","79.97M","0.22%"
"2019년 02월 08일","281.49","283.85","284.01","280.95","88.71M","-1.46%"
"2019년 02월 07일","285.65","287.54","287.67","284.97","100.69M","-0.05%"
"2019년 02월 01일","285.79","287.07","288.34","285.43","114.63M","-0.03%"
"2019년 01월 31일","285.89","288.85","288.87","285.89","153.50M","-0.25%"
"2019년 01월 30일","286.62","282.86","286.63","282.24","134.73M","1.28%"
"2019년 01월 29일","283.00","281.12","283.00","279.65","130.94M","0.48%"
"2019년 01월 28일","281.64","282.56","283.46","280.47","95.97M","-0.01%"
"2019년 01월 25일","281.67","277.30","281.72","277.04","115.51M","1.83%"
"2019년 01월 24일","276.61","274.10","276.64","273.74","132.86M","1.00%"
"2019년 01월 23일","273.87","271.35","274.51","271.03","99.96M","0.43%"
"2019년 01월 22일","272.71","274.08","274.60","271.45","68.87M","-0.47%"
"2019년 01월 21일","274.00","274.99","275.14","272.29","86.55M","0.04%"
"2019년 01월 18일","273.88","273.02","273.95","272.56","78.97M","0.74%"
"2019년 01월 17일","271.88","271.66","273.05","270.81","86.75M","0.24%"
"2019년 01월 16일","271.23","269.96","271.28","269.05","100.50M","0.48%"
"2019년 01월 15일","269.93","265.62","270.02","265.37","87.17M","1.86%"
"2019년 01월 14일","264.99","266.22","266.70","264.23","74.93M","-0.80%"
"2019년 01월 11일","267.13","266.58","267.58","265.56","81.08M","0.59%"
"2019년 01월 10일","265.55","265.73","266.85","264.61","99.83M","-0.02%"
"2019년 01월 09일","265.60","260.95","266.05","260.87","98.75M","2.29%"
"2019년 01월 08일","259.65","261.29","262.43","259.39","86.91M","-0.73%"
"2019년 01월 07일","261.57","261.11","263.13","260.76","92.32M","1.43%"
"2019년 01월 04일","257.89","255.62","258.12","254.55","91.20M","0.83%"
"2019년 01월 03일","255.77","258.19","258.70","255.35","90.52M","-0.95%"
"2019년 01월 02일","258.23","263.35","263.77","257.47","69.95M","-1.43%"
"2018년 12월 28일","261.98","261.61","262.85","261.27","62.70M","0.54%"
"2018년 12월 27일","260.57","261.53","261.71","259.73","84.46M","-0.16%"
"2018년 12월 26일","260.98","261.09","262.49","259.35","92.49M","-1.31%"
"2018년 12월 24일","264.45","263.51","265.09","262.96","61.96M","-0.23%"
"2018년 12월 21일","265.06","263.66","265.06","263.15","92.60M","0.09%"
"2018년 12월 20일","264.81","265.13","266.34","263.12","81.34M","-0.94%"
"2018년 12월 19일","267.31","266.02","267.55","265.26","81.75M","0.80%"
"2018년 12월 18일","265.18","264.42","266.83","263.93","90.33M","-0.43%"
"2018년 12월 17일","266.33","265.81","267.19","265.41","71.45M","0.29%"
"2018년 12월 14일","265.55","269.69","269.69","264.44","99.73M","-1.43%"
"2018년 12월 13일","269.41","269.07","271.06","268.22","145.06M","0.35%"
"2018년 12월 12일","268.47","266.00","268.84","265.55","83.69M","1.43%"
"2018년 12월 11일","264.69","265.87","265.99","263.87","70.04M","-0.25%"
"2018년 12월 10일","265.35","264.55","266.20","263.63","77.30M","-1.09%"
"2018년 12월 07일","268.28","268.97","269.66","267.03","68.45M","0.41%"
"2018년 12월 06일","267.18","270.18","270.18","266.61","86.09M","-1.59%"
"2018년 12월 05일","271.49","269.53","272.38","269.47","75.64M","-0.66%"
"2018년 12월 04일","273.29","275.08","275.72","272.03","80.80M","-1.05%"
"2018년 12월 03일","276.18","275.70","276.98","273.59","89.07M","1.78%"
"2018년 11월 30일","271.35","274.53","275.51","270.88","137.53M","-1.02%"
"2018년 11월 29일","274.16","277.08","277.54","273.40","80.65M","0.26%"
"2018년 11월 28일","273.45","272.64","273.53","271.35","79.83M","0.50%"
"2018년 11월 27일","272.08","270.90","272.47","269.27","71.91M","0.85%"
"2018년 11월 26일","269.79","266.43","269.95","266.41","75.65M","1.30%"
"2018년 11월 23일","266.33","268.12","268.54","264.86","58.35M","-0.53%"
"2018년 11월 22일","267.76","268.51","269.11","267.15","64.41M","-0.19%"
"2018년 11월 21일","268.27","265.96","268.49","264.95","81.84M","-0.49%"
"2018년 11월 20일","269.58","268.54","270.58","268.54","80.90M","-1.00%"
"2018년 11월 19일","272.31","272.01","274.05","270.83","75.01M","0.24%"
"2018년 11월 16일","271.65","272.95","273.52","271.06","74.60M","0.04%"
"2018년 11월 15일","271.54","267.93","271.69","267.68","74.36M","0.99%"
"2018년 11월 14일","268.88","269.58","270.01","267.75","87.33M","-0.30%"
"2018년 11월 13일","269.70","267.03","269.89","264.63","88.28M","-0.69%"
"2018년 11월 12일","271.57","268.66","272.27","268.64","78.00M","0.09%"
"2018년 11월 09일","271.33","272.25","273.57","270.85","80.92M","-0.29%"
"2018년 11월 08일","272.11","274.88","276.34","272.07","99.22M","0.61%"
"2018년 11월 07일","270.45","271.43","273.79","269.77","119.32M","-0.41%"
"2018년 11월 06일","271.57","271.01","272.01","268.57","77.83M","0.56%"
"2018년 11월 05일","270.07","270.22","270.45","266.67","81.49M","-0.91%"
